Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,989.8,291.1,290.2,0.0,495.3,93.6,11.4,11.6,160.4,0.0,POINT Z (-96.748 32.716 0),2023-01-02 07:00:00,17.05000000000001
-0.0,-0.0,989.8,291.1,290.2,0.0,495.6,93.6,11.4,11.6,160.5,0.0,POINT Z (-96.748 32.713 0),2023-01-02 06:59:00,17.05000000000001
-0.0,-0.0,989.8,291.1,290.2,0.0,495.0,93.7,11.4,11.6,160.6,0.0,POINT Z (-96.748 32.71 0),2023-01-02 06:58:00,17.05000000000001
-0.1,-0.1,989.8,291.1,290.2,0.0,494.4,93.7,11.4,11.6,160.7,0.0,POINT Z (-96.747 32.707 0),2023-01-02 06:57:00,17.05000000000001
-0.1,-0.1,989.8,291.1,290.2,0.0,493.8,93.7,11.4,11.6,160.8,0.0,POINT Z (-96.747 32.704 0),2023-01-02 06:56:00,17.05000000000001
-0.1,-0.1,989.8,291.1,290.2,0.0,493.2,93.7,11.4,11.6,160.9,0.0,POINT Z (-96.747 32.701 0),2023-01-02 06:55:00,17.05000000000001
-0.1,-0.1,989.8,291.1,290.2,0.0,492.6,93.7,11.4,11.6,161.0,0.0,POINT Z (-96.747 32.697 0),2023-01-02 06:54:00,17.05000000000001
-0.1,-0.1,989.8,291.1,290.2,0.0,491.9,93.7,11.4,11.6,161.1,0.0,POINT Z (-96.747 32.694 0),2023-01-02 06:53:00,17.05000000000001
-0.1,-0.1,989.8,291.1,290.2,0.0,491.3,93.7,11.4,11.6,161.2,0.0,POINT Z (-96.747 32.691 0),2023-01-02 06:52:00,17.05000000000001
-0.2,-0.2,989.8,291.1,290.2,0.0,490.7,93.7,11.4,11.6,161.2,0.0,POINT Z (-96.746 32.688 0),2023-01-02 06:51:00,17.05000000000001
-0.2,-0.2,989.8,291.1,290.2,0.0,490.0,93.7,11.4,11.6,161.3,0.0,POINT Z (-96.746 32.685 0),2023-01-02 06:50:00,17.05000000000001
-0.2,-0.2,989.8,291.1,290.2,0.0,489.3,93.7,11.4,11.6,161.4,0.0,POINT Z (-96.746 32.682 0),2023-01-02 06:49:00,17.05000000000001
-0.2,-0.2,989.8,291.1,290.2,0.0,488.7,93.7,11.4,11.6,161.5,0.0,POINT Z (-96.746 32.679 0),2023-01-02 06:48:00,17.05000000000001
-0.2,-0.2,989.8,291.1,290.2,0.0,488.0,93.7,11.4,11.6,161.6,0.0,POINT Z (-96.746 32.676 0),2023-01-02 06:47:00,17.05000000000001
-0.2,-0.2,989.9,291.0,290.2,0.0,487.3,93.7,11.4,11.6,161.7,0.0,POINT Z (-96.745 32.673 0),2023-01-02 06:46:00,17.05000000000001
-0.2,-0.2,989.9,291.0,290.2,0.0,486.6,93.7,11.4,11.6,161.8,0.0,POINT Z (-96.745 32.67 0),2023-01-02 06:45:00,17.05000000000001
-0.3,-0.3,989.9,291.0,290.2,0.0,485.9,93.7,11.4,11.6,161.9,0.0,POINT Z (-96.745 32.667 0),2023-01-02 06:44:00,17.05000000000001
-0.3,-0.3,989.9,291.0,290.2,0.0,485.1,93.7,11.4,11.6,162.0,0.0,POINT Z (-96.745 32.664 0),2023-01-02 06:43:00,17.05000000000001
-0.3,-0.3,989.9,291.0,290.2,0.0,484.4,93.7,11.4,11.6,162.0,0.0,POINT Z (-96.745 32.661 0),2023-01-02 06:42:00,17.05000000000001
-0.3,-0.3,989.9,291.0,290.2,0.0,483.7,93.7,11.4,11.6,162.1,0.0,POINT Z (-96.745 32.658 0),2023-01-02 06:41:00,17.05000000000001
-0.3,-0.3,989.9,291.0,290.2,0.0,482.9,93.7,11.4,11.6,162.2,0.0,POINT Z (-96.744 32.655 0),2023-01-02 06:40:00,17.05000000000001
-0.3,-0.3,989.9,291.0,290.2,0.0,482.2,93.7,11.4,11.6,162.3,0.0,POINT Z (-96.744 32.652 0),2023-01-02 06:39:00,17.05000000000001
-0.4,-0.4,989.9,291.0,290.2,0.0,481.4,93.7,11.4,11.6,162.4,0.0,POINT Z (-96.744 32.649 0),2023-01-02 06:38:00,17.05000000000001
-0.4,-0.4,989.9,291.0,290.2,0.0,480.7,93.7,11.4,11.6,162.5,0.0,POINT Z (-96.744 32.646 0),2023-01-02 06:37:00,17.05000000000001
-0.4,-0.4,989.9,291.0,290.2,0.0,479.9,93.7,11.4,11.6,162.6,0.0,POINT Z (-96.744 32.643 0),2023-01-02 06:36:00,17.05000000000001
-0.4,-0.4,989.9,291.0,290.2,0.0,479.1,93.7,11.4,11.6,162.6,0.0,POINT Z (-96.74299999999999 32.64 0),2023-01-02 06:35:00,17.05000000000001
-0.4,-0.4,990.0,291.0,290.2,0.0,478.3,93.7,11.4,11.6,162.7,0.0,POINT Z (-96.74299999999999 32.637 0),2023-01-02 06:34:00,17.05000000000001
-0.4,-0.4,990.0,291.0,290.2,0.0,477.5,93.8,11.4,11.6,162.8,0.0,POINT Z (-96.74299999999999 32.634 0),2023-01-02 06:33:00,17.05000000000001
-0.5,-0.5,990.0,291.0,290.2,0.0,476.7,93.8,11.4,11.6,162.9,0.0,POINT Z (-96.74299999999999 32.631 0),2023-01-02 06:32:00,17.05000000000001
-0.5,-0.5,990.0,291.0,290.2,0.0,475.9,93.8,11.4,11.6,163.0,0.0,POINT Z (-96.74299999999999 32.628 0),2023-01-02 06:31:00,17.05000000000001
-0.5,-0.5,990.0,291.0,290.2,0.0,475.0,93.8,11.4,11.6,163.1,0.0,POINT Z (-96.742 32.624 0),2023-01-02 06:30:00,17.05000000000001
-0.5,-0.5,990.0,291.0,290.2,0.0,474.2,93.8,11.4,11.6,163.2,0.0,POINT Z (-96.742 32.621 0),2023-01-02 06:29:00,17.05000000000001
-0.5,-0.5,990.0,291.0,290.2,0.0,473.3,93.8,11.4,11.6,163.2,0.0,POINT Z (-96.742 32.618 0),2023-01-02 06:28:00,17.05000000000001
-0.6,-0.6,990.0,291.0,290.2,0.0,472.5,93.8,11.4,11.6,163.3,0.0,POINT Z (-96.742 32.615 0),2023-01-02 06:27:00,17.05000000000001
-0.6,-0.6,990.0,291.0,290.2,0.0,471.6,93.8,11.4,11.6,163.4,0.0,POINT Z (-96.742 32.612 0),2023-01-02 06:26:00,17.05000000000001
-0.6,-0.6,990.0,291.0,290.2,0.0,470.7,93.8,11.4,11.6,163.5,0.0,POINT Z (-96.741 32.609 0),2023-01-02 06:25:00,17.05000000000001
-0.6,-0.6,990.0,291.0,290.2,0.0,469.8,93.8,11.4,11.6,163.6,0.0,POINT Z (-96.741 32.606 0),2023-01-02 06:24:00,17.05000000000001
-0.6,-0.6,990.0,291.0,290.2,0.0,468.9,93.8,11.4,11.6,163.7,0.0,POINT Z (-96.741 32.603 0),2023-01-02 06:23:00,17.05000000000001
-0.6,-0.6,990.1,291.0,290.2,0.0,468.0,93.8,11.4,11.6,163.7,0.0,POINT Z (-96.741 32.6 0),2023-01-02 06:22:00,17.05000000000001
-0.6,-0.6,990.1,291.0,290.2,0.0,467.1,93.9,11.4,11.6,163.8,0.0,POINT Z (-96.741 32.597 0),2023-01-02 06:21:00,17.05000000000001
-0.7,-0.7,990.1,291.0,290.2,0.0,466.2,93.9,11.4,11.6,163.9,0.0,POINT Z (-96.73999999999999 32.594 0),2023-01-02 06:20:00,17.05000000000001
