Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,989.3,291.8,290.9,0.0,671.3,91.6,11.6,11.8,160.4,0.0,POINT Z (-96.748 32.716 6),2023-01-02 11:00:00,17.75
-0.0,-0.0,989.3,291.8,290.9,0.0,671.7,91.6,11.6,11.8,160.5,0.0,POINT Z (-96.748 32.713 6),2023-01-02 10:59:00,17.75
-0.0,-0.0,989.3,291.8,290.9,0.0,671.6,91.6,11.6,11.8,160.6,0.0,POINT Z (-96.747 32.71 6),2023-01-02 10:58:00,17.75
-0.1,-0.1,989.3,291.8,290.9,0.0,671.5,91.6,11.6,11.8,160.7,0.0,POINT Z (-96.747 32.706 5.9),2023-01-02 10:57:00,17.75
-0.1,-0.1,989.3,291.8,290.9,0.0,671.3,91.6,11.6,11.8,160.8,0.0,POINT Z (-96.746 32.703 5.9),2023-01-02 10:56:00,17.75
-0.1,-0.1,989.3,291.8,290.9,0.0,671.2,91.6,11.6,11.8,160.9,0.0,POINT Z (-96.746 32.7 5.9),2023-01-02 10:55:00,17.75
-0.1,-0.1,989.4,291.8,290.9,0.0,671.1,91.6,11.6,11.8,160.9,0.0,POINT Z (-96.745 32.697 5.9),2023-01-02 10:54:00,17.75
-0.1,-0.1,989.4,291.7,290.9,0.0,671.0,91.7,11.6,11.8,161.0,0.0,POINT Z (-96.745 32.694 5.8),2023-01-02 10:53:00,17.75
-0.1,-0.1,989.4,291.7,290.9,0.0,670.9,91.7,11.6,11.8,161.1,0.0,POINT Z (-96.745 32.691 5.8),2023-01-02 10:52:00,17.75
-0.2,-0.2,989.4,291.7,290.9,0.0,670.8,91.7,11.6,11.8,161.2,0.0,POINT Z (-96.744 32.688 5.8),2023-01-02 10:51:00,17.75
-0.2,-0.2,989.4,291.7,290.9,0.0,670.7,91.7,11.6,11.8,161.3,0.0,POINT Z (-96.744 32.685 5.8),2023-01-02 10:50:00,17.75
-0.2,-0.2,989.4,291.7,290.9,0.0,670.7,91.7,11.6,11.8,161.3,0.0,POINT Z (-96.743 32.682 5.7),2023-01-02 10:49:00,17.75
-0.2,-0.2,989.4,291.7,290.9,0.0,670.6,91.7,11.6,11.8,161.4,0.0,POINT Z (-96.743 32.679 5.7),2023-01-02 10:48:00,17.75
-0.2,-0.2,989.4,291.7,290.9,0.0,670.5,91.7,11.6,11.8,161.5,0.0,POINT Z (-96.743 32.675 5.7),2023-01-02 10:47:00,17.75
-0.2,-0.2,989.4,291.7,290.8,0.0,670.5,91.7,11.6,11.8,161.6,0.0,POINT Z (-96.742 32.672 5.7),2023-01-02 10:46:00,17.650000000000034
-0.2,-0.2,989.4,291.7,290.8,0.0,670.4,91.7,11.6,11.8,161.7,0.0,POINT Z (-96.742 32.669 5.6),2023-01-02 10:45:00,17.650000000000034
-0.3,-0.3,989.4,291.7,290.8,0.0,670.4,91.7,11.6,11.8,161.7,0.0,POINT Z (-96.741 32.666 5.6),2023-01-02 10:44:00,17.650000000000034
-0.3,-0.3,989.4,291.7,290.8,0.0,670.4,91.7,11.6,11.8,161.8,0.0,POINT Z (-96.741 32.663 5.6),2023-01-02 10:43:00,17.650000000000034
-0.3,-0.3,989.4,291.7,290.8,0.0,670.3,91.7,11.6,11.8,161.9,0.0,POINT Z (-96.741 32.66 5.6),2023-01-02 10:42:00,17.650000000000034
