Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,992.4,270.1,269.6,0.1,508.4,74.7,2.2,2.2,160.4,18.6,POINT Z (-96.748 32.716 130),2023-01-31 16:00:00,-3.5499999999999545
-0.0,-0.0,992.4,270.1,269.5,0.1,508.8,74.6,2.2,2.2,160.3,18.6,POINT Z (-96.748 32.72 130.3),2023-01-31 15:59:00,-3.6499999999999773
-0.0,-0.0,992.4,270.1,269.5,0.1,508.9,74.6,2.2,2.2,160.2,18.5,POINT Z (-96.749 32.724 130.5),2023-01-31 15:58:00,-3.6499999999999773
-0.1,-0.1,992.4,270.1,269.5,0.1,509.0,74.6,2.2,2.2,160.1,18.3,POINT Z (-96.749 32.728 130.8),2023-01-31 15:57:00,-3.6499999999999773
-0.1,-0.1,992.4,270.1,269.5,0.1,509.0,74.5,2.2,2.2,160.0,18.1,POINT Z (-96.749 32.732 131.1),2023-01-31 15:56:00,-3.6499999999999773
-0.1,-0.1,992.4,270.1,269.5,0.1,509.1,74.5,2.2,2.2,159.8,17.9,POINT Z (-96.749 32.736 131.3),2023-01-31 15:55:00,-3.6499999999999773
-0.1,-0.1,992.4,270.1,269.5,0.1,509.2,74.5,2.2,2.2,159.7,17.7,POINT Z (-96.749 32.741 131.6),2023-01-31 15:54:00,-3.6499999999999773
-0.1,-0.1,992.3,270.1,269.5,0.1,509.3,74.4,2.2,2.2,159.6,17.6,POINT Z (-96.75 32.745 131.8),2023-01-31 15:53:00,-3.6499999999999773
-0.1,-0.1,992.3,270.1,269.5,0.1,509.4,74.4,2.2,2.2,159.4,17.4,POINT Z (-96.75 32.749 132.1),2023-01-31 15:52:00,-3.6499999999999773
-0.2,-0.2,992.3,270.1,269.5,0.1,509.4,74.3,2.2,2.2,159.3,17.2,POINT Z (-96.75 32.753 132.4),2023-01-31 15:51:00,-3.6499999999999773
-0.2,-0.2,992.3,270.1,269.5,0.1,509.5,74.3,2.2,2.2,159.2,17.0,POINT Z (-96.75 32.757 132.6),2023-01-31 15:50:00,-3.6499999999999773
-0.2,-0.2,992.3,270.1,269.5,0.1,509.5,74.3,2.2,2.2,159.1,16.8,POINT Z (-96.75 32.761 132.9),2023-01-31 15:49:00,-3.6499999999999773
-0.2,-0.2,992.3,270.1,269.5,0.1,509.6,74.2,2.2,2.2,158.9,16.6,POINT Z (-96.751 32.765 133.1),2023-01-31 15:48:00,-3.6499999999999773
-0.2,-0.2,992.3,270.1,269.5,0.1,509.6,74.2,2.2,2.2,158.8,16.4,POINT Z (-96.751 32.77 133.4),2023-01-31 15:47:00,-3.6499999999999773
-0.2,-0.2,992.3,270.1,269.5,0.1,509.7,74.2,2.2,2.2,158.7,16.2,POINT Z (-96.751 32.774 133.6),2023-01-31 15:46:00,-3.6499999999999773
-0.2,-0.2,992.2,270.0,269.4,0.1,509.7,74.1,2.2,2.2,158.6,16.0,POINT Z (-96.751 32.778 133.9),2023-01-31 15:45:00,-3.75
-0.3,-0.3,992.2,270.0,269.4,0.1,509.8,74.1,2.2,2.2,158.4,15.8,POINT Z (-96.751 32.782 134.1),2023-01-31 15:44:00,-3.75
-0.3,-0.3,992.2,270.0,269.4,0.1,509.8,74.1,2.2,2.2,158.3,15.6,POINT Z (-96.751 32.786 134.4),2023-01-31 15:43:00,-3.75
-0.3,-0.3,992.2,270.0,269.4,0.1,509.8,74.0,2.2,2.2,158.2,15.4,POINT Z (-96.751 32.79 134.6),2023-01-31 15:42:00,-3.75
-0.3,-0.3,992.2,270.0,269.4,0.1,509.8,74.0,2.2,2.2,158.0,15.2,POINT Z (-96.752 32.794 134.9),2023-01-31 15:41:00,-3.75
-0.3,-0.3,992.2,270.0,269.4,0.1,509.8,74.0,2.2,2.2,157.9,15.0,POINT Z (-96.752 32.798 135.1),2023-01-31 15:40:00,-3.75
-0.3,-0.3,992.2,270.0,269.4,0.1,509.9,73.9,2.2,2.2,157.8,14.8,POINT Z (-96.752 32.803 135.4),2023-01-31 15:39:00,-3.75
-0.4,-0.4,992.2,270.0,269.4,0.1,509.9,73.9,2.2,2.2,157.7,14.6,POINT Z (-96.752 32.807 135.6),2023-01-31 15:38:00,-3.75
-0.4,-0.4,992.2,270.0,269.4,0.1,509.9,73.9,2.2,2.2,157.5,14.4,POINT Z (-96.752 32.811 135.8),2023-01-31 15:37:00,-3.75
-0.4,-0.4,992.2,270.0,269.4,0.1,509.9,73.8,2.1,2.2,157.4,14.2,POINT Z (-96.752 32.815 136.1),2023-01-31 15:36:00,-3.75
-0.4,-0.4,992.1,270.0,269.4,0.1,509.9,73.8,2.1,2.2,157.3,14.0,POINT Z (-96.752 32.819 136.3),2023-01-31 15:35:00,-3.75
-0.4,-0.4,992.1,270.0,269.4,0.1,509.9,73.8,2.1,2.2,157.1,13.7,POINT Z (-96.752 32.823 136.6),2023-01-31 15:34:00,-3.75
-0.4,-0.4,992.1,270.0,269.4,0.1,509.8,73.7,2.1,2.2,157.0,13.5,POINT Z (-96.752 32.827 136.8),2023-01-31 15:33:00,-3.75
-0.5,-0.5,992.1,270.0,269.4,0.1,509.8,73.7,2.1,2.1,156.9,13.3,POINT Z (-96.752 32.831 137),2023-01-31 15:32:00,-3.75
-0.5,-0.5,992.1,270.0,269.3,0.1,509.8,73.7,2.1,2.1,156.7,13.1,POINT Z (-96.752 32.835 137.3),2023-01-31 15:31:00,-3.849999999999966
-0.5,-0.5,992.1,269.9,269.3,0.1,509.8,73.6,2.1,2.1,156.6,12.9,POINT Z (-96.752 32.839 137.5),2023-01-31 15:30:00,-3.849999999999966
-0.5,-0.5,992.1,269.9,269.3,0.1,509.7,73.6,2.1,2.1,156.5,12.6,POINT Z (-96.752 32.843 137.8),2023-01-31 15:29:00,-3.849999999999966
-0.5,-0.5,992.1,269.9,269.3,0.1,509.7,73.6,2.1,2.1,156.3,12.4,POINT Z (-96.752 32.847 138),2023-01-31 15:28:00,-3.849999999999966
