Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,984.8,296.7,295.4,0.2,1279.8,79.3,13.4,13.7,160.4,129.1,POINT Z (-96.748 32.716 0),2023-01-02 19:00:00,22.25
-0.0,-0.0,984.8,296.7,295.4,0.2,1280.3,79.3,13.4,13.7,160.6,129.0,POINT Z (-96.748 32.711 0),2023-01-02 18:59:00,22.25
-0.0,-0.0,984.8,296.7,295.4,0.2,1280.6,79.3,13.4,13.7,160.7,127.6,POINT Z (-96.748 32.706 0),2023-01-02 18:58:00,22.25
-0.1,-0.1,984.9,296.7,295.4,0.2,1281.0,79.4,13.4,13.7,160.9,126.2,POINT Z (-96.748 32.702 0),2023-01-02 18:57:00,22.25
-0.1,-0.1,984.9,296.7,295.4,0.2,1281.4,79.5,13.4,13.7,161.0,124.7,POINT Z (-96.748 32.697 0),2023-01-02 18:56:00,22.25
-0.1,-0.1,984.9,296.7,295.4,0.2,1281.8,79.5,13.4,13.7,161.2,123.3,POINT Z (-96.748 32.692 0),2023-01-02 18:55:00,22.25
-0.1,-0.1,985.0,296.7,295.4,0.2,1282.3,79.6,13.4,13.7,161.3,121.8,POINT Z (-96.748 32.688 0),2023-01-02 18:54:00,22.25
-0.1,-0.1,985.0,296.7,295.4,0.2,1282.7,79.7,13.4,13.7,161.5,120.4,POINT Z (-96.748 32.683 0),2023-01-02 18:53:00,22.25
-0.1,-0.1,985.0,296.7,295.4,0.2,1283.2,79.7,13.4,13.7,161.6,119.0,POINT Z (-96.748 32.678 0),2023-01-02 18:52:00,22.25
-0.2,-0.2,985.0,296.7,295.4,0.2,1283.6,79.8,13.4,13.7,161.8,117.6,POINT Z (-96.748 32.674 0),2023-01-02 18:51:00,22.25
-0.2,-0.2,985.1,296.6,295.4,0.2,1284.1,79.9,13.5,13.8,161.9,116.1,POINT Z (-96.748 32.669 0),2023-01-02 18:50:00,22.25
-0.2,-0.2,985.1,296.6,295.4,0.2,1284.6,79.9,13.5,13.8,162.1,114.7,POINT Z (-96.748 32.664 0),2023-01-02 18:49:00,22.25
-0.2,-0.2,985.1,296.6,295.4,0.2,1285.1,80.0,13.5,13.8,162.2,113.3,POINT Z (-96.747 32.659 0),2023-01-02 18:48:00,22.25
-0.2,-0.2,985.2,296.6,295.4,0.2,1285.6,80.1,13.5,13.8,162.4,111.9,POINT Z (-96.747 32.655 0),2023-01-02 18:47:00,22.25
-0.2,-0.2,985.2,296.6,295.4,0.2,1286.2,80.1,13.5,13.8,162.5,110.5,POINT Z (-96.747 32.65 0),2023-01-02 18:46:00,22.25
-0.2,-0.2,985.2,296.6,295.3,0.2,1286.7,80.2,13.5,13.8,162.6,109.1,POINT Z (-96.747 32.645 0),2023-01-02 18:45:00,22.150000000000034
-0.3,-0.3,985.2,296.6,295.3,0.2,1287.3,80.3,13.5,13.8,162.8,107.7,POINT Z (-96.747 32.641 0),2023-01-02 18:44:00,22.150000000000034
-0.3,-0.3,985.3,296.6,295.3,0.2,1287.8,80.3,13.5,13.8,162.9,106.3,POINT Z (-96.747 32.636 0),2023-01-02 18:43:00,22.150000000000034
-0.3,-0.3,985.3,296.6,295.3,0.2,1288.4,80.4,13.5,13.8,163.1,104.9,POINT Z (-96.747 32.631 0),2023-01-02 18:42:00,22.150000000000034
-0.3,-0.3,985.3,296.6,295.3,0.1,1289.0,80.5,13.5,13.8,163.2,103.5,POINT Z (-96.747 32.627 0),2023-01-02 18:41:00,22.150000000000034
