Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,987.2,294.8,293.7,0.0,1186.9,85.1,12.9,13.2,160.4,32.2,POINT Z (-96.748 32.716 0),2023-01-02 17:00:00,20.55000000000001
-0.0,-0.0,987.2,294.8,293.7,0.0,1187.4,85.1,12.9,13.2,160.6,32.3,POINT Z (-96.747 32.711 0),2023-01-02 16:59:00,20.55000000000001
-0.0,-0.0,987.3,294.8,293.7,0.0,1186.5,85.1,12.9,13.2,160.7,32.2,POINT Z (-96.746 32.707 0),2023-01-02 16:58:00,20.55000000000001
-0.1,-0.1,987.3,294.8,293.7,0.0,1185.6,85.1,12.9,13.2,160.8,32.0,POINT Z (-96.746 32.703 0),2023-01-02 16:57:00,20.55000000000001
-0.1,-0.1,987.3,294.8,293.7,0.0,1184.7,85.2,12.9,13.2,160.9,31.9,POINT Z (-96.745 32.699 0),2023-01-02 16:56:00,20.55000000000001
-0.1,-0.1,987.3,294.8,293.7,0.0,1183.8,85.2,12.9,13.2,161.0,31.7,POINT Z (-96.744 32.694 0),2023-01-02 16:55:00,20.55000000000001
-0.1,-0.1,987.4,294.8,293.7,0.0,1182.8,85.2,12.9,13.2,161.1,31.6,POINT Z (-96.74299999999999 32.69 0),2023-01-02 16:54:00,20.55000000000001
-0.1,-0.1,987.4,294.8,293.7,0.0,1181.9,85.2,12.9,13.2,161.2,31.5,POINT Z (-96.742 32.686 0),2023-01-02 16:53:00,20.55000000000001
-0.1,-0.1,987.4,294.8,293.7,0.0,1180.9,85.3,12.9,13.2,161.3,31.3,POINT Z (-96.742 32.682 0),2023-01-02 16:52:00,20.55000000000001
-0.2,-0.2,987.5,294.8,293.7,0.0,1180.0,85.3,12.9,13.2,161.4,31.2,POINT Z (-96.741 32.677 0),2023-01-02 16:51:00,20.55000000000001
-0.2,-0.2,987.5,294.8,293.7,0.0,1179.0,85.3,12.9,13.2,161.5,31.0,POINT Z (-96.73999999999999 32.673 0),2023-01-02 16:50:00,20.55000000000001
-0.2,-0.2,987.5,294.7,293.7,0.0,1178.0,85.3,12.9,13.2,161.6,30.9,POINT Z (-96.739 32.669 0),2023-01-02 16:49:00,20.55000000000001
-0.2,-0.2,987.5,294.7,293.7,0.0,1177.0,85.4,12.9,13.2,161.7,30.7,POINT Z (-96.738 32.665 0),2023-01-02 16:48:00,20.55000000000001
-0.2,-0.2,987.6,294.7,293.7,0.0,1176.0,85.4,12.9,13.2,161.8,30.6,POINT Z (-96.738 32.66 0),2023-01-02 16:47:00,20.55000000000001
-0.2,-0.2,987.6,294.7,293.7,0.0,1175.0,85.4,12.9,13.2,161.9,30.4,POINT Z (-96.73699999999999 32.656 0),2023-01-02 16:46:00,20.55000000000001
-0.2,-0.2,987.6,294.7,293.7,0.0,1174.0,85.4,12.9,13.2,161.9,30.3,POINT Z (-96.736 32.652 0),2023-01-02 16:45:00,20.55000000000001
-0.3,-0.3,987.6,294.7,293.7,0.0,1173.0,85.5,12.9,13.2,162.0,30.1,POINT Z (-96.735 32.648 0),2023-01-02 16:44:00,20.55000000000001
-0.3,-0.3,987.7,294.7,293.7,0.0,1172.0,85.5,12.9,13.2,162.1,30.0,POINT Z (-96.735 32.643 0),2023-01-02 16:43:00,20.55000000000001
-0.3,-0.3,987.7,294.7,293.6,0.0,1171.0,85.5,12.9,13.2,162.2,29.8,POINT Z (-96.73399999999999 32.639 0),2023-01-02 16:42:00,20.450000000000045
-0.3,-0.3,987.7,294.7,293.6,0.0,1169.9,85.6,12.9,13.2,162.3,29.7,POINT Z (-96.733 32.635 0),2023-01-02 16:41:00,20.450000000000045
-0.3,-0.3,987.8,294.7,293.6,0.0,1168.9,85.6,12.9,13.2,162.4,29.5,POINT Z (-96.732 32.631 0),2023-01-02 16:40:00,20.450000000000045
-0.3,-0.3,987.8,294.7,293.6,0.0,1167.8,85.6,12.9,13.2,162.5,29.3,POINT Z (-96.73099999999999 32.626 0),2023-01-02 16:39:00,20.450000000000045
-0.4,-0.4,987.8,294.7,293.6,0.0,1166.7,85.6,12.9,13.2,162.6,29.2,POINT Z (-96.73099999999999 32.622 0),2023-01-02 16:38:00,20.450000000000045
-0.4,-0.4,987.8,294.6,293.6,0.0,1165.7,85.7,12.9,13.2,162.7,29.0,POINT Z (-96.73 32.618 0),2023-01-02 16:37:00,20.450000000000045
-0.4,-0.4,987.9,294.6,293.6,0.0,1164.6,85.7,12.9,13.2,162.7,28.9,POINT Z (-96.729 32.614 0),2023-01-02 16:36:00,20.450000000000045
-0.4,-0.4,987.9,294.6,293.6,0.0,1163.5,85.7,12.9,13.2,162.8,28.7,POINT Z (-96.72799999999999 32.609 0),2023-01-02 16:35:00,20.450000000000045
-0.4,-0.4,987.9,294.6,293.6,0.0,1162.4,85.8,12.9,13.2,162.9,28.5,POINT Z (-96.727 32.605 0),2023-01-02 16:34:00,20.450000000000045
-0.4,-0.4,988.0,294.6,293.6,0.0,1161.3,85.8,12.9,13.2,163.0,28.4,POINT Z (-96.727 32.601 0),2023-01-02 16:33:00,20.450000000000045
-0.5,-0.5,988.0,294.6,293.6,0.0,1160.2,85.8,12.9,13.2,163.1,28.2,POINT Z (-96.726 32.597 0),2023-01-02 16:32:00,20.450000000000045
-0.5,-0.5,988.0,294.6,293.6,0.0,1159.1,85.8,12.9,13.2,163.2,28.0,POINT Z (-96.72499999999999 32.593 0),2023-01-02 16:31:00,20.450000000000045
-0.5,-0.5,988.0,294.6,293.6,0.0,1158.0,85.9,12.9,13.2,163.2,27.9,POINT Z (-96.724 32.588 0),2023-01-02 16:30:00,20.450000000000045
-0.5,-0.5,988.1,294.6,293.6,0.0,1156.8,85.9,12.9,13.2,163.3,27.7,POINT Z (-96.723 32.584 0),2023-01-02 16:29:00,20.450000000000045
-0.5,-0.5,988.1,294.6,293.6,0.0,1155.7,85.9,12.9,13.2,163.4,27.5,POINT Z (-96.723 32.58 0),2023-01-02 16:28:00,20.450000000000045
-0.6,-0.6,988.1,294.6,293.6,0.0,1154.6,86.0,12.9,13.2,163.5,27.4,POINT Z (-96.72199999999999 32.576 0),2023-01-02 16:27:00,20.450000000000045
-0.6,-0.6,988.2,294.5,293.5,0.0,1153.4,86.0,12.9,13.2,163.5,27.2,POINT Z (-96.721 32.571 0),2023-01-02 16:26:00,20.350000000000023
-0.6,-0.6,988.2,294.5,293.5,0.0,1152.3,86.0,12.9,13.2,163.6,27.0,POINT Z (-96.72 32.567 0),2023-01-02 16:25:00,20.350000000000023
-0.6,-0.6,988.2,294.5,293.5,0.0,1151.1,86.1,12.9,13.2,163.7,26.8,POINT Z (-96.71899999999999 32.563 0),2023-01-02 16:24:00,20.350000000000023
-0.6,-0.6,988.2,294.5,293.5,0.0,1149.9,86.1,12.9,13.2,163.8,26.7,POINT Z (-96.71899999999999 32.559 0),2023-01-02 16:23:00,20.350000000000023
-0.6,-0.6,988.3,294.5,293.5,0.0,1148.7,86.1,12.9,13.2,163.8,26.5,POINT Z (-96.718 32.555 0),2023-01-02 16:22:00,20.350000000000023
-0.6,-0.6,988.3,294.5,293.5,0.0,1147.5,86.1,12.9,13.2,163.9,26.3,POINT Z (-96.717 32.55 0),2023-01-02 16:21:00,20.350000000000023
-0.7,-0.7,988.3,294.5,293.5,0.0,1146.3,86.2,12.9,13.2,164.0,26.1,POINT Z (-96.71599999999999 32.546 0),2023-01-02 16:20:00,20.350000000000023
-0.7,-0.7,988.3,294.5,293.5,0.0,1145.1,86.2,12.9,13.2,164.0,26.0,POINT Z (-96.715 32.542 0),2023-01-02 16:19:00,20.350000000000023
-0.7,-0.7,988.4,294.5,293.5,0.0,1143.9,86.2,12.9,13.2,164.1,25.8,POINT Z (-96.714 32.538 0),2023-01-02 16:18:00,20.350000000000023
-0.7,-0.7,988.4,294.5,293.5,0.0,1142.7,86.3,12.9,13.2,164.2,25.6,POINT Z (-96.714 32.534 0),2023-01-02 16:17:00,20.350000000000023
-0.7,-0.7,988.4,294.4,293.5,0.0,1141.5,86.3,12.9,13.2,164.2,25.4,POINT Z (-96.71299999999999 32.529 0),2023-01-02 16:16:00,20.350000000000023
-0.8,-0.8,988.5,294.4,293.5,0.0,1140.3,86.3,12.9,13.2,164.3,25.2,POINT Z (-96.712 32.525 0),2023-01-02 16:15:00,20.350000000000023
-0.8,-0.8,988.5,294.4,293.5,0.0,1139.0,86.4,12.9,13.1,164.4,25.0,POINT Z (-96.711 32.521 0),2023-01-02 16:14:00,20.350000000000023
