Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,989.3,292.4,291.5,0.0,806.8,89.9,11.8,12.0,160.4,2.9,POINT Z (-96.748 32.716 0),2023-01-02 13:00:00,18.350000000000023
-0.0,-0.0,989.3,292.4,291.5,0.0,807.1,89.9,11.8,12.0,160.5,2.9,POINT Z (-96.747 32.712 0),2023-01-02 12:59:00,18.350000000000023
-0.0,-0.0,989.3,292.4,291.5,0.0,805.6,89.9,11.8,12.0,160.6,2.9,POINT Z (-96.747 32.709 0),2023-01-02 12:58:00,18.350000000000023
-0.1,-0.1,989.3,292.4,291.5,0.0,804.1,89.9,11.8,12.0,160.7,2.8,POINT Z (-96.746 32.706 0),2023-01-02 12:57:00,18.350000000000023
-0.1,-0.1,989.3,292.3,291.5,0.0,802.6,89.9,11.8,12.0,160.8,2.8,POINT Z (-96.745 32.702 0),2023-01-02 12:56:00,18.350000000000023
-0.1,-0.1,989.3,292.3,291.4,0.0,801.2,89.9,11.8,12.0,160.8,2.7,POINT Z (-96.745 32.699 0),2023-01-02 12:55:00,18.25
-0.1,-0.1,989.3,292.3,291.4,0.0,799.7,89.9,11.8,12.0,160.9,2.7,POINT Z (-96.744 32.696 0),2023-01-02 12:54:00,18.25
-0.1,-0.1,989.3,292.3,291.4,0.0,798.2,89.9,11.8,12.0,161.0,2.6,POINT Z (-96.74299999999999 32.693 0),2023-01-02 12:53:00,18.25
-0.1,-0.1,989.3,292.3,291.4,0.0,796.7,89.9,11.8,12.0,161.1,2.6,POINT Z (-96.74299999999999 32.689 0),2023-01-02 12:52:00,18.25
-0.2,-0.2,989.3,292.3,291.4,0.0,795.3,89.9,11.8,12.0,161.1,2.5,POINT Z (-96.742 32.686 0),2023-01-02 12:51:00,18.25
-0.2,-0.2,989.4,292.3,291.4,0.0,793.8,89.9,11.8,12.0,161.2,2.5,POINT Z (-96.741 32.683 0),2023-01-02 12:50:00,18.25
-0.2,-0.2,989.4,292.3,291.4,0.0,792.3,89.9,11.8,12.0,161.3,2.4,POINT Z (-96.741 32.68 0),2023-01-02 12:49:00,18.25
-0.2,-0.2,989.4,292.3,291.4,0.0,790.9,89.9,11.8,12.0,161.4,2.4,POINT Z (-96.73999999999999 32.676 0),2023-01-02 12:48:00,18.25
-0.2,-0.2,989.4,292.3,291.4,0.0,789.4,89.9,11.8,12.0,161.4,2.3,POINT Z (-96.739 32.673 0),2023-01-02 12:47:00,18.25
-0.2,-0.2,989.4,292.3,291.4,0.0,787.9,89.9,11.8,12.0,161.5,2.3,POINT Z (-96.739 32.67 0),2023-01-02 12:46:00,18.25
-0.2,-0.2,989.4,292.3,291.4,0.0,786.5,89.9,11.8,12.0,161.6,2.2,POINT Z (-96.738 32.666 0),2023-01-02 12:45:00,18.25
-0.3,-0.3,989.4,292.3,291.4,0.0,785.0,89.9,11.8,12.0,161.7,2.2,POINT Z (-96.73699999999999 32.663 0),2023-01-02 12:44:00,18.25
-0.3,-0.3,989.4,292.3,291.4,0.0,783.5,89.9,11.8,12.0,161.7,2.1,POINT Z (-96.73699999999999 32.66 0),2023-01-02 12:43:00,18.25
-0.3,-0.3,989.4,292.3,291.4,0.0,782.1,89.9,11.8,12.0,161.8,2.1,POINT Z (-96.736 32.657 0),2023-01-02 12:42:00,18.25
