Timestep,Timestep,Pressure,Potential_Temperature,Temperature,Rainfall,Mixing_Depth,Relative_Humidity,Specific_Humidity,Mixing_Ratio,Terrain_Altitude,Solar_Radiation,geometry,DateTime,Temperature_C
0.0,0.0,986.1,295.7,294.5,0.0,1275.2,83.5,13.3,13.6,160.4,44.0,POINT Z (-96.748 32.716 0),2023-01-02 18:00:00,21.350000000000023
-0.0,-0.0,986.1,295.7,294.5,0.0,1276.0,83.5,13.3,13.6,160.6,44.1,POINT Z (-96.747 32.711 0),2023-01-02 17:59:00,21.350000000000023
-0.0,-0.0,986.1,295.7,294.5,0.0,1275.3,83.5,13.3,13.6,160.7,44.0,POINT Z (-96.747 32.707 0),2023-01-02 17:58:00,21.350000000000023
-0.1,-0.1,986.2,295.7,294.5,0.0,1274.6,83.5,13.3,13.6,160.8,43.9,POINT Z (-96.746 32.702 0),2023-01-02 17:57:00,21.350000000000023
-0.1,-0.1,986.2,295.7,294.5,0.0,1273.9,83.5,13.4,13.6,160.9,43.8,POINT Z (-96.745 32.698 0),2023-01-02 17:56:00,21.350000000000023
-0.1,-0.1,986.2,295.7,294.5,0.0,1273.2,83.5,13.4,13.6,161.0,43.6,POINT Z (-96.745 32.693 0),2023-01-02 17:55:00,21.350000000000023
-0.1,-0.1,986.3,295.7,294.5,0.0,1272.5,83.5,13.4,13.6,161.1,43.5,POINT Z (-96.744 32.689 0),2023-01-02 17:54:00,21.350000000000023
-0.1,-0.1,986.3,295.7,294.5,0.0,1271.7,83.6,13.4,13.6,161.3,43.4,POINT Z (-96.74299999999999 32.684 0),2023-01-02 17:53:00,21.350000000000023
-0.1,-0.1,986.3,295.7,294.5,0.0,1271.0,83.6,13.4,13.7,161.4,43.3,POINT Z (-96.74299999999999 32.68 0),2023-01-02 17:52:00,21.350000000000023
-0.2,-0.2,986.3,295.7,294.5,0.0,1270.2,83.6,13.4,13.7,161.5,43.2,POINT Z (-96.742 32.675 0),2023-01-02 17:51:00,21.350000000000023
-0.2,-0.2,986.4,295.7,294.5,0.0,1269.5,83.6,13.4,13.7,161.6,43.1,POINT Z (-96.741 32.671 0),2023-01-02 17:50:00,21.350000000000023
-0.2,-0.2,986.4,295.7,294.5,0.0,1268.7,83.6,13.4,13.7,161.7,43.0,POINT Z (-96.741 32.666 0),2023-01-02 17:49:00,21.350000000000023
-0.2,-0.2,986.4,295.7,294.5,0.0,1267.9,83.7,13.4,13.7,161.8,42.9,POINT Z (-96.73999999999999 32.662 0),2023-01-02 17:48:00,21.350000000000023
-0.2,-0.2,986.5,295.7,294.5,0.0,1267.1,83.7,13.4,13.7,161.9,42.7,POINT Z (-96.73999999999999 32.657 0),2023-01-02 17:47:00,21.350000000000023
-0.2,-0.2,986.5,295.7,294.5,0.0,1266.3,83.7,13.4,13.7,162.0,42.6,POINT Z (-96.739 32.653 0),2023-01-02 17:46:00,21.350000000000023
-0.2,-0.2,986.5,295.7,294.5,0.0,1265.5,83.7,13.4,13.7,162.2,42.5,POINT Z (-96.738 32.648 0),2023-01-02 17:45:00,21.350000000000023
-0.3,-0.3,986.6,295.7,294.5,0.0,1264.7,83.7,13.4,13.7,162.3,42.4,POINT Z (-96.738 32.644 0),2023-01-02 17:44:00,21.350000000000023
-0.3,-0.3,986.6,295.7,294.5,0.0,1263.9,83.8,13.4,13.7,162.4,42.3,POINT Z (-96.73699999999999 32.639 0),2023-01-02 17:43:00,21.350000000000023
-0.3,-0.3,986.6,295.7,294.5,0.0,1263.1,83.8,13.4,13.7,162.5,42.1,POINT Z (-96.736 32.635 0),2023-01-02 17:42:00,21.350000000000023
-0.3,-0.3,986.6,295.6,294.5,0.0,1262.2,83.8,13.4,13.7,162.6,42.0,POINT Z (-96.736 32.63 0),2023-01-02 17:41:00,21.350000000000023
